Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.58667e-02,0.172211
-1.58666e-02,0.172578
-1.58664e-02,0.172594
-1.58662e-02,0.172008
-1.58661e-02,0.17193
-1.58659e-02,0.172188
-1.58658e-02,0.171055
-1.58656e-02,0.170789
-1.58654e-02,0.169906
-1.58653e-02,0.168
-1.58651e-02,0.167094
-1.58650e-02,0.166281
-1.58648e-02,0.165266
-1.58646e-02,0.163984
-1.58645e-02,0.162438
-1.58643e-02,0.161438
-1.58642e-02,0.160219
-1.58640e-02,0.159234
-1.58638e-02,0.157789
-1.58637e-02,0.155789
-1.58635e-02,0.155
-1.58634e-02,0.154
-1.58632e-02,0.153102
-1.58630e-02,0.152172
-1.58629e-02,0.151281
-1.58627e-02,0.150992
-1.58626e-02,0.14993
-1.58624e-02,0.149289
-1.58622e-02,0.149141
-1.58621e-02,0.148852
-1.58619e-02,0.148695
-1.58618e-02,0.148563
-1.58616e-02,0.148141
-1.58614e-02,0.147453
-1.58613e-02,0.147516
-1.58611e-02,0.147664
-1.58610e-02,0.147766
-1.58608e-02,0.147664
-1.58606e-02,0.147313
-1.58605e-02,0.14775
-1.58603e-02,0.147547
-1.58602e-02,0.147539
-1.58600e-02,0.148469
-1.58598e-02,0.14868
-1.58597e-02,0.148734
-1.58595e-02,0.149555
-1.58594e-02,0.149563
-1.58592e-02,0.149633
-1.58590e-02,0.150352
-1.58589e-02,0.150727
-1.58587e-02,0.151148
-1.58586e-02,0.151703
-1.58584e-02,0.151922
-1.58582e-02,0.152516
-1.58581e-02,0.152961
-1.58579e-02,0.152805
-1.58578e-02,0.153141
-1.58576e-02,0.153359
-1.58574e-02,0.154008
-1.58573e-02,0.154805
-1.58571e-02,0.15525
-1.58570e-02,0.155234
-1.58568e-02,0.154992
-1.58566e-02,0.155336
-1.58565e-02,0.155594
-1.58563e-02,0.155922
-1.58562e-02,0.15643
-1.58560e-02,0.156766
-1.58558e-02,0.157
-1.58557e-02,0.157266
-1.58555e-02,0.157617
-1.58554e-02,0.158117
-1.58552e-02,0.15857
-1.58550e-02,0.158797
-1.58549e-02,0.159
-1.58547e-02,0.159008
-1.58546e-02,0.159555
-1.58544e-02,0.160352
-1.58542e-02,0.160242
-1.58541e-02,0.159672
-1.58539e-02,0.159445
-1.58538e-02,0.159156
-1.58536e-02,0.158898
-1.58534e-02,0.15875
-1.58533e-02,0.158109
-1.58531e-02,0.157266
-1.58530e-02,0.156305
-1.58528e-02,0.155336
-1.58526e-02,0.154594
-1.58525e-02,0.153539
-1.58523e-02,0.152156
-1.58522e-02,0.151227
-1.58520e-02,0.150594
-1.58518e-02,0.149602
-1.58517e-02,0.149
-1.58515e-02,0.148805
-1.58514e-02,0.147727
-1.58512e-02,0.146867
-1.58510e-02,0.14657
-1.58509e-02,0.146266
-1.58507e-02,0.145836
-1.58506e-02,0.145227
-1.58504e-02,0.144953
-1.58502e-02,0.145039
-1.58501e-02,0.145383
-1.58499e-02,0.145375
-1.58498e-02,0.145289
-1.58496e-02,0.145547
-1.58494e-02,0.146367
